FrameSeq,X,Y,Distance,Angle,X_dbl,Y_dbl
\n4048,65,44,1.656000,-0.319068,1.572419,-0.519457
4048,65,44,1.651000,-0.312932,1.570819,-0.508260
4048,65,45,1.651000,-0.306796,1.573908,-0.498612
4048,65,45,1.638000,-0.300660,1.564521,-0.485095
4048,65,45,1.629000,-0.294524,1.558856,-0.472874
4048,65,45,1.623000,-0.288388,1.555976,-0.461593
4048,65,45,1.619000,-0.282252,1.554937,-0.450923
4048,65,45,1.619000,-0.276116,1.557675,-0.441374
4048,65,45,1.616000,-0.269981,1.557462,-0.431008
4048,65,45,1.607000,-0.263845,1.551389,-0.419096
4048,65,45,1.607000,-0.257709,1.553931,-0.409569
4048,65,46,1.603000,-0.251573,1.552541,-0.399031
4048,65,46,1.599000,-0.245437,1.551080,-0.388525
4048,65,46,1.599000,-0.239301,1.553435,-0.379001
4048,65,46,1.597000,-0.233165,1.553785,-0.369000
4048,65,46,1.597000,-0.227029,1.556020,-0.359459
4048,65,46,1.585000,-0.220893,1.546488,-0.347275
4048,65,46,1.574000,-0.214757,1.537842,-0.335436
4048,65,46,1.572000,-0.208621,1.537915,-0.325579
4048,65,46,1.572000,-0.202485,1.539884,-0.316136
4048,65,46,1.572000,-0.196349,1.541795,-0.306682
4048,65,47,1.572000,-0.190214,1.543647,-0.297216
4048,65,47,1.572000,-0.184078,1.545442,-0.287739
4048,65,47,1.572000,-0.177942,1.547178,-0.278251
4048,65,47,1.577000,-0.171806,1.553783,-0.269607
4048,65,47,1.572000,-0.165670,1.550476,-0.259243
4048,65,47,1.573000,-0.159534,1.553025,-0.249884
4048,65,47,1.573000,-0.153398,1.554529,-0.240350
4048,65,47,1.570000,-0.147262,1.553007,-0.230367
4048,65,47,1.565000,-0.141126,1.549441,-0.220130
4048,65,47,1.565000,-0.134990,1.550763,-0.210619
4048,65,47,1.560000,-0.128854,1.547067,-0.200457
4048,65,48,1.560000,-0.122718,1.548268,-0.190961
4048,65,48,1.557000,-0.116582,1.546431,-0.181108
4048,65,48,1.556000,-0.110447,1.546519,-0.171506
4048,65,48,1.555000,-0.104311,1.546548,-0.161909
4048,65,48,1.555000,-0.098175,1.547512,-0.152417
