32904	55	50	0.528	0	0.528	0					
32905	55	50	0.529	0	0.529	0		Mean	0.529782218		
32907	55	50	0.525	0	0.525	0		STDev	0.004068657		
32908	55	50	0.528	0	0.528	0		1stdev	0.525713561	0.533850875	683
32910	55	50	0.524	0	0.524	0		2stdev	0.521644904	0.537919532	956
32911	55	50	0.529	0	0.529	0		3stdev	0.517576247	0.541988189	993
32913	55	50	0.531	0	0.531	0					
32914	55	50	0.53	0	0.53	0					
32916	55	50	0.527	0	0.527	0					
32917	55	50	0.528	0	0.528	0					
32919	55	50	0.532	0	0.532	0					
32920	55	50	0.527	0	0.527	0					
32922	55	50	0.529	0	0.529	0					
32923	55	50	0.531	0	0.531	0					
32925	55	50	0.525	0	0.525	0					
32926	55	50	0.532	0	0.532	0					
32928	55	50	0.536	0	0.536	0					
32929	55	50	0.536	0	0.536	0					
32931	55	50	0.526	0	0.526	0					
32932	55	50	0.537	0	0.537	0					
32934	55	50	0.528	0	0.528	0					
32935	55	50	0.53	0	0.53	0					
32937	55	50	0.537	0	0.537	0					
32938	55	50	0.529	0	0.529	0					
32940	55	50	0.529	0	0.529	0					
32941	55	50	0.529	0	0.529	0					
32943	55	50	0.533	0	0.533	0					
32944	55	50	0.534	0	0.534	0					
32946	55	50	0.518	0	0.518	0					
32947	55	50	0.532	0	0.532	0					
32949	55	50	0.532	0	0.532	0					
32950	55	50	0.528	0	0.528	0					
32952	55	50	0.535	0	0.535	0					
32953	55	50	0.527	0	0.527	0					
32955	55	50	0.53	0	0.53	0					
32956	55	50	0.534	0	0.534	0					
32958	55	50	0.524	0	0.524	0					
32959	55	50	0.529	0	0.529	0					
32961	55	50	0.534	0	0.534	0					
32962	55	50	0.525	0	0.525	0					
32964	55	50	0.526	0	0.526	0					
32965	55	50	0.527	0	0.527	0					
32967	55	50	0.533	0	0.533	0					
32968	55	50	0.53	0	0.53	0					
32970	55	50	0.531	0	0.531	0					
32971	55	50	0.536	0	0.536	0					
32973	55	50	0.532	0	0.532	0					
32974	55	50	0.528	0	0.528	0					
32976	55	50	0.536	0	0.536	0					
32977	55	50	0.528	0	0.528	0					
32979	55	50	0.533	0	0.533	0					
32980	55	50	0.532	0	0.532	0					
32982	55	50	0.53	0	0.53	0					
32983	55	50	0.538	0	0.538	0					
32985	55	50	0.533	0	0.533	0					
32986	55	50	0.536	0	0.536	0					
32988	55	50	0.531	0	0.531	0					
